date,year,quarter,month,month_name,day,day_of_week,day_of_week_num,is_weekend,year_month
2022-10-22,2022,Q4,10,October,22,Saturday,6,1,2022-10
2022-10-23,2022,Q4,10,October,23,Sunday,7,1,2022-10
2022-10-24,2022,Q4,10,October,24,Monday,1,0,2022-10
2022-10-25,2022,Q4,10,October,25,Tuesday,2,0,2022-10
2022-10-26,2022,Q4,10,October,26,Wednesday,3,0,2022-10
2022-10-27,2022,Q4,10,October,27,Thursday,4,0,2022-10
2022-10-28,2022,Q4,10,October,28,Friday,5,0,2022-10
2022-10-29,2022,Q4,10,October,29,Saturday,6,1,2022-10
2022-10-30,2022,Q4,10,October,30,Sunday,7,1,2022-10
2022-10-31,2022,Q4,10,October,31,Monday,1,0,2022-10
2022-11-01,2022,Q4,11,November,1,Tuesday,2,0,2022-11
2022-11-02,2022,Q4,11,November,2,Wednesday,3,0,2022-11
2022-11-03,2022,Q4,11,November,3,Thursday,4,0,2022-11
2022-11-04,2022,Q4,11,November,4,Friday,5,0,2022-11
2022-11-05,2022,Q4,11,November,5,Saturday,6,1,2022-11
2022-11-06,2022,Q4,11,November,6,Sunday,7,1,2022-11
2022-11-07,2022,Q4,11,November,7,Monday,1,0,2022-11
2022-11-08,2022,Q4,11,November,8,Tuesday,2,0,2022-11
2022-11-09,2022,Q4,11,November,9,Wednesday,3,0,2022-11
2022-11-10,2022,Q4,11,November,10,Thursday,4,0,2022-11
2022-11-11,2022,Q4,11,November,11,Friday,5,0,2022-11
2022-11-12,2022,Q4,11,November,12,Saturday,6,1,2022-11
2022-11-13,2022,Q4,11,November,13,Sunday,7,1,2022-11
2022-11-14,2022,Q4,11,November,14,Monday,1,0,2022-11
2022-11-15,2022,Q4,11,November,15,Tuesday,2,0,2022-11
2022-11-16,2022,Q4,11,November,16,Wednesday,3,0,2022-11
2022-11-17,2022,Q4,11,November,17,Thursday,4,0,2022-11
2022-11-18,2022,Q4,11,November,18,Friday,5,0,2022-11
2022-11-19,2022,Q4,11,November,19,Saturday,6,1,2022-11
2022-11-20,2022,Q4,11,November,20,Sunday,7,1,2022-11
2022-11-21,2022,Q4,11,November,21,Monday,1,0,2022-11
2022-11-22,2022,Q4,11,November,22,Tuesday,2,0,2022-11
2022-11-23,2022,Q4,11,November,23,Wednesday,3,0,2022-11
2022-11-24,2022,Q4,11,November,24,Thursday,4,0,2022-11
2022-11-25,2022,Q4,11,November,25,Friday,5,0,2022-11
2022-11-26,2022,Q4,11,November,26,Saturday,6,1,2022-11
2022-11-27,2022,Q4,11,November,27,Sunday,7,1,2022-11
2022-11-28,2022,Q4,11,November,28,Monday,1,0,2022-11
2022-11-29,2022,Q4,11,November,29,Tuesday,2,0,2022-11
2022-11-30,2022,Q4,11,November,30,Wednesday,3,0,2022-11
2022-12-01,2022,Q4,12,December,1,Thursday,4,0,2022-12
2022-12-02,2022,Q4,12,December,2,Friday,5,0,2022-12
2022-12-03,2022,Q4,12,December,3,Saturday,6,1,2022-12
2022-12-04,2022,Q4,12,December,4,Sunday,7,1,2022-12
2022-12-05,2022,Q4,12,December,5,Monday,1,0,2022-12
2022-12-06,2022,Q4,12,December,6,Tuesday,2,0,2022-12
2022-12-07,2022,Q4,12,December,7,Wednesday,3,0,2022-12
2022-12-08,2022,Q4,12,December,8,Thursday,4,0,2022-12
2022-12-09,2022,Q4,12,December,9,Friday,5,0,2022-12
2022-12-10,2022,Q4,12,December,10,Saturday,6,1,2022-12
2022-12-11,2022,Q4,12,December,11,Sunday,7,1,2022-12
2022-12-12,2022,Q4,12,December,12,Monday,1,0,2022-12
2022-12-13,2022,Q4,12,December,13,Tuesday,2,0,2022-12
2022-12-14,2022,Q4,12,December,14,Wednesday,3,0,2022-12
2022-12-15,2022,Q4,12,December,15,Thursday,4,0,2022-12
2022-12-16,2022,Q4,12,December,16,Friday,5,0,2022-12
2022-12-17,2022,Q4,12,December,17,Saturday,6,1,2022-12
2022-12-18,2022,Q4,12,December,18,Sunday,7,1,2022-12
2022-12-19,2022,Q4,12,December,19,Monday,1,0,2022-12
2022-12-20,2022,Q4,12,December,20,Tuesday,2,0,2022-12
2022-12-21,2022,Q4,12,December,21,Wednesday,3,0,2022-12
2022-12-22,2022,Q4,12,December,22,Thursday,4,0,2022-12
2022-12-23,2022,Q4,12,December,23,Friday,5,0,2022-12
2022-12-24,2022,Q4,12,December,24,Saturday,6,1,2022-12
2022-12-25,2022,Q4,12,December,25,Sunday,7,1,2022-12
2022-12-26,2022,Q4,12,December,26,Monday,1,0,2022-12
2022-12-27,2022,Q4,12,December,27,Tuesday,2,0,2022-12
2022-12-28,2022,Q4,12,December,28,Wednesday,3,0,2022-12
2022-12-29,2022,Q4,12,December,29,Thursday,4,0,2022-12
2022-12-30,2022,Q4,12,December,30,Friday,5,0,2022-12
2022-12-31,2022,Q4,12,December,31,Saturday,6,1,2022-12
2023-01-01,2023,Q1,1,January,1,Sunday,7,1,2023-01
2023-01-02,2023,Q1,1,January,2,Monday,1,0,2023-01
2023-01-03,2023,Q1,1,January,3,Tuesday,2,0,2023-01
2023-01-04,2023,Q1,1,January,4,Wednesday,3,0,2023-01
2023-01-05,2023,Q1,1,January,5,Thursday,4,0,2023-01
2023-01-06,2023,Q1,1,January,6,Friday,5,0,2023-01
2023-01-07,2023,Q1,1,January,7,Saturday,6,1,2023-01
2023-01-08,2023,Q1,1,January,8,Sunday,7,1,2023-01
2023-01-09,2023,Q1,1,January,9,Monday,1,0,2023-01
2023-01-10,2023,Q1,1,January,10,Tuesday,2,0,2023-01
2023-01-11,2023,Q1,1,January,11,Wednesday,3,0,2023-01
2023-01-12,2023,Q1,1,January,12,Thursday,4,0,2023-01
2023-01-13,2023,Q1,1,January,13,Friday,5,0,2023-01
2023-01-14,2023,Q1,1,January,14,Saturday,6,1,2023-01
2023-01-15,2023,Q1,1,January,15,Sunday,7,1,2023-01
2023-01-16,2023,Q1,1,January,16,Monday,1,0,2023-01
2023-01-17,2023,Q1,1,January,17,Tuesday,2,0,2023-01
2023-01-18,2023,Q1,1,January,18,Wednesday,3,0,2023-01
2023-01-19,2023,Q1,1,January,19,Thursday,4,0,2023-01
2023-01-20,2023,Q1,1,January,20,Friday,5,0,2023-01
2023-01-21,2023,Q1,1,January,21,Saturday,6,1,2023-01
2023-01-22,2023,Q1,1,January,22,Sunday,7,1,2023-01
2023-01-23,2023,Q1,1,January,23,Monday,1,0,2023-01
2023-01-24,2023,Q1,1,January,24,Tuesday,2,0,2023-01
2023-01-25,2023,Q1,1,January,25,Wednesday,3,0,2023-01
2023-01-26,2023,Q1,1,January,26,Thursday,4,0,2023-01
2023-01-27,2023,Q1,1,January,27,Friday,5,0,2023-01
2023-01-28,2023,Q1,1,January,28,Saturday,6,1,2023-01
2023-01-29,2023,Q1,1,January,29,Sunday,7,1,2023-01
2023-01-30,2023,Q1,1,January,30,Monday,1,0,2023-01
2023-01-31,2023,Q1,1,January,31,Tuesday,2,0,2023-01
2023-02-01,2023,Q1,2,February,1,Wednesday,3,0,2023-02
2023-02-02,2023,Q1,2,February,2,Thursday,4,0,2023-02
2023-02-03,2023,Q1,2,February,3,Friday,5,0,2023-02
2023-02-04,2023,Q1,2,February,4,Saturday,6,1,2023-02
2023-02-05,2023,Q1,2,February,5,Sunday,7,1,2023-02
2023-02-06,2023,Q1,2,February,6,Monday,1,0,2023-02
2023-02-07,2023,Q1,2,February,7,Tuesday,2,0,2023-02
2023-02-08,2023,Q1,2,February,8,Wednesday,3,0,2023-02
2023-02-09,2023,Q1,2,February,9,Thursday,4,0,2023-02
2023-02-10,2023,Q1,2,February,10,Friday,5,0,2023-02
2023-02-11,2023,Q1,2,February,11,Saturday,6,1,2023-02
2023-02-12,2023,Q1,2,February,12,Sunday,7,1,2023-02
2023-02-13,2023,Q1,2,February,13,Monday,1,0,2023-02
2023-02-14,2023,Q1,2,February,14,Tuesday,2,0,2023-02
2023-02-15,2023,Q1,2,February,15,Wednesday,3,0,2023-02
2023-02-16,2023,Q1,2,February,16,Thursday,4,0,2023-02
2023-02-17,2023,Q1,2,February,17,Friday,5,0,2023-02
2023-02-18,2023,Q1,2,February,18,Saturday,6,1,2023-02
2023-02-19,2023,Q1,2,February,19,Sunday,7,1,2023-02
2023-02-20,2023,Q1,2,February,20,Monday,1,0,2023-02
2023-02-21,2023,Q1,2,February,21,Tuesday,2,0,2023-02
2023-02-22,2023,Q1,2,February,22,Wednesday,3,0,2023-02
2023-02-23,2023,Q1,2,February,23,Thursday,4,0,2023-02
2023-02-24,2023,Q1,2,February,24,Friday,5,0,2023-02
2023-02-25,2023,Q1,2,February,25,Saturday,6,1,2023-02
2023-02-26,2023,Q1,2,February,26,Sunday,7,1,2023-02
2023-02-27,2023,Q1,2,February,27,Monday,1,0,2023-02
2023-02-28,2023,Q1,2,February,28,Tuesday,2,0,2023-02
2023-03-01,2023,Q1,3,March,1,Wednesday,3,0,2023-03
2023-03-02,2023,Q1,3,March,2,Thursday,4,0,2023-03
2023-03-03,2023,Q1,3,March,3,Friday,5,0,2023-03
2023-03-04,2023,Q1,3,March,4,Saturday,6,1,2023-03
2023-03-05,2023,Q1,3,March,5,Sunday,7,1,2023-03
2023-03-06,2023,Q1,3,March,6,Monday,1,0,2023-03
2023-03-07,2023,Q1,3,March,7,Tuesday,2,0,2023-03
2023-03-08,2023,Q1,3,March,8,Wednesday,3,0,2023-03
2023-03-09,2023,Q1,3,March,9,Thursday,4,0,2023-03
2023-03-10,2023,Q1,3,March,10,Friday,5,0,2023-03
2023-03-11,2023,Q1,3,March,11,Saturday,6,1,2023-03
2023-03-12,2023,Q1,3,March,12,Sunday,7,1,2023-03
2023-03-13,2023,Q1,3,March,13,Monday,1,0,2023-03
2023-03-14,2023,Q1,3,March,14,Tuesday,2,0,2023-03
2023-03-15,2023,Q1,3,March,15,Wednesday,3,0,2023-03
2023-03-16,2023,Q1,3,March,16,Thursday,4,0,2023-03
2023-03-17,2023,Q1,3,March,17,Friday,5,0,2023-03
2023-03-18,2023,Q1,3,March,18,Saturday,6,1,2023-03
2023-03-19,2023,Q1,3,March,19,Sunday,7,1,2023-03
2023-03-20,2023,Q1,3,March,20,Monday,1,0,2023-03
2023-03-21,2023,Q1,3,March,21,Tuesday,2,0,2023-03
2023-03-22,2023,Q1,3,March,22,Wednesday,3,0,2023-03
2023-03-23,2023,Q1,3,March,23,Thursday,4,0,2023-03
2023-03-24,2023,Q1,3,March,24,Friday,5,0,2023-03
2023-03-25,2023,Q1,3,March,25,Saturday,6,1,2023-03
2023-03-26,2023,Q1,3,March,26,Sunday,7,1,2023-03
2023-03-27,2023,Q1,3,March,27,Monday,1,0,2023-03
2023-03-28,2023,Q1,3,March,28,Tuesday,2,0,2023-03
2023-03-29,2023,Q1,3,March,29,Wednesday,3,0,2023-03
2023-03-30,2023,Q1,3,March,30,Thursday,4,0,2023-03
2023-03-31,2023,Q1,3,March,31,Friday,5,0,2023-03
2023-04-01,2023,Q2,4,April,1,Saturday,6,1,2023-04
2023-04-02,2023,Q2,4,April,2,Sunday,7,1,2023-04
2023-04-03,2023,Q2,4,April,3,Monday,1,0,2023-04
2023-04-04,2023,Q2,4,April,4,Tuesday,2,0,2023-04
2023-04-05,2023,Q2,4,April,5,Wednesday,3,0,2023-04
2023-04-06,2023,Q2,4,April,6,Thursday,4,0,2023-04
2023-04-07,2023,Q2,4,April,7,Friday,5,0,2023-04
2023-04-08,2023,Q2,4,April,8,Saturday,6,1,2023-04
2023-04-09,2023,Q2,4,April,9,Sunday,7,1,2023-04
2023-04-10,2023,Q2,4,April,10,Monday,1,0,2023-04
2023-04-11,2023,Q2,4,April,11,Tuesday,2,0,2023-04
2023-04-12,2023,Q2,4,April,12,Wednesday,3,0,2023-04
2023-04-13,2023,Q2,4,April,13,Thursday,4,0,2023-04
2023-04-14,2023,Q2,4,April,14,Friday,5,0,2023-04
2023-04-15,2023,Q2,4,April,15,Saturday,6,1,2023-04
2023-04-16,2023,Q2,4,April,16,Sunday,7,1,2023-04
2023-04-17,2023,Q2,4,April,17,Monday,1,0,2023-04
2023-04-18,2023,Q2,4,April,18,Tuesday,2,0,2023-04
2023-04-19,2023,Q2,4,April,19,Wednesday,3,0,2023-04
2023-04-20,2023,Q2,4,April,20,Thursday,4,0,2023-04
2023-04-21,2023,Q2,4,April,21,Friday,5,0,2023-04
2023-04-22,2023,Q2,4,April,22,Saturday,6,1,2023-04
2023-04-23,2023,Q2,4,April,23,Sunday,7,1,2023-04
2023-04-24,2023,Q2,4,April,24,Monday,1,0,2023-04
2023-04-25,2023,Q2,4,April,25,Tuesday,2,0,2023-04
2023-04-26,2023,Q2,4,April,26,Wednesday,3,0,2023-04
2023-04-27,2023,Q2,4,April,27,Thursday,4,0,2023-04
2023-04-28,2023,Q2,4,April,28,Friday,5,0,2023-04
2023-04-29,2023,Q2,4,April,29,Saturday,6,1,2023-04
2023-04-30,2023,Q2,4,April,30,Sunday,7,1,2023-04
2023-05-01,2023,Q2,5,May,1,Monday,1,0,2023-05
2023-05-02,2023,Q2,5,May,2,Tuesday,2,0,2023-05
2023-05-03,2023,Q2,5,May,3,Wednesday,3,0,2023-05
2023-05-04,2023,Q2,5,May,4,Thursday,4,0,2023-05
2023-05-05,2023,Q2,5,May,5,Friday,5,0,2023-05
2023-05-06,2023,Q2,5,May,6,Saturday,6,1,2023-05
2023-05-07,2023,Q2,5,May,7,Sunday,7,1,2023-05
2023-05-08,2023,Q2,5,May,8,Monday,1,0,2023-05
2023-05-09,2023,Q2,5,May,9,Tuesday,2,0,2023-05
2023-05-10,2023,Q2,5,May,10,Wednesday,3,0,2023-05
2023-05-11,2023,Q2,5,May,11,Thursday,4,0,2023-05
2023-05-12,2023,Q2,5,May,12,Friday,5,0,2023-05
2023-05-13,2023,Q2,5,May,13,Saturday,6,1,2023-05
2023-05-14,2023,Q2,5,May,14,Sunday,7,1,2023-05
2023-05-15,2023,Q2,5,May,15,Monday,1,0,2023-05
2023-05-16,2023,Q2,5,May,16,Tuesday,2,0,2023-05
2023-05-17,2023,Q2,5,May,17,Wednesday,3,0,2023-05
2023-05-18,2023,Q2,5,May,18,Thursday,4,0,2023-05
2023-05-19,2023,Q2,5,May,19,Friday,5,0,2023-05
2023-05-20,2023,Q2,5,May,20,Saturday,6,1,2023-05
2023-05-21,2023,Q2,5,May,21,Sunday,7,1,2023-05
2023-05-22,2023,Q2,5,May,22,Monday,1,0,2023-05
2023-05-23,2023,Q2,5,May,23,Tuesday,2,0,2023-05
2023-05-24,2023,Q2,5,May,24,Wednesday,3,0,2023-05
2023-05-25,2023,Q2,5,May,25,Thursday,4,0,2023-05
2023-05-26,2023,Q2,5,May,26,Friday,5,0,2023-05
2023-05-27,2023,Q2,5,May,27,Saturday,6,1,2023-05
2023-05-28,2023,Q2,5,May,28,Sunday,7,1,2023-05
2023-05-29,2023,Q2,5,May,29,Monday,1,0,2023-05
2023-05-30,2023,Q2,5,May,30,Tuesday,2,0,2023-05
2023-05-31,2023,Q2,5,May,31,Wednesday,3,0,2023-05
2023-06-01,2023,Q2,6,June,1,Thursday,4,0,2023-06
2023-06-02,2023,Q2,6,June,2,Friday,5,0,2023-06
2023-06-03,2023,Q2,6,June,3,Saturday,6,1,2023-06
2023-06-04,2023,Q2,6,June,4,Sunday,7,1,2023-06
2023-06-05,2023,Q2,6,June,5,Monday,1,0,2023-06
2023-06-06,2023,Q2,6,June,6,Tuesday,2,0,2023-06
2023-06-07,2023,Q2,6,June,7,Wednesday,3,0,2023-06
2023-06-08,2023,Q2,6,June,8,Thursday,4,0,2023-06
2023-06-09,2023,Q2,6,June,9,Friday,5,0,2023-06
2023-06-10,2023,Q2,6,June,10,Saturday,6,1,2023-06
2023-06-11,2023,Q2,6,June,11,Sunday,7,1,2023-06
2023-06-12,2023,Q2,6,June,12,Monday,1,0,2023-06
2023-06-13,2023,Q2,6,June,13,Tuesday,2,0,2023-06
2023-06-14,2023,Q2,6,June,14,Wednesday,3,0,2023-06
2023-06-15,2023,Q2,6,June,15,Thursday,4,0,2023-06
2023-06-16,2023,Q2,6,June,16,Friday,5,0,2023-06
2023-06-17,2023,Q2,6,June,17,Saturday,6,1,2023-06
2023-06-18,2023,Q2,6,June,18,Sunday,7,1,2023-06
2023-06-19,2023,Q2,6,June,19,Monday,1,0,2023-06
2023-06-20,2023,Q2,6,June,20,Tuesday,2,0,2023-06
2023-06-21,2023,Q2,6,June,21,Wednesday,3,0,2023-06
2023-06-22,2023,Q2,6,June,22,Thursday,4,0,2023-06
2023-06-23,2023,Q2,6,June,23,Friday,5,0,2023-06
2023-06-24,2023,Q2,6,June,24,Saturday,6,1,2023-06
2023-06-25,2023,Q2,6,June,25,Sunday,7,1,2023-06
2023-06-26,2023,Q2,6,June,26,Monday,1,0,2023-06
2023-06-27,2023,Q2,6,June,27,Tuesday,2,0,2023-06
2023-06-28,2023,Q2,6,June,28,Wednesday,3,0,2023-06
2023-06-29,2023,Q2,6,June,29,Thursday,4,0,2023-06
2023-06-30,2023,Q2,6,June,30,Friday,5,0,2023-06
2023-07-01,2023,Q3,7,July,1,Saturday,6,1,2023-07
2023-07-02,2023,Q3,7,July,2,Sunday,7,1,2023-07
2023-07-03,2023,Q3,7,July,3,Monday,1,0,2023-07
2023-07-04,2023,Q3,7,July,4,Tuesday,2,0,2023-07
2023-07-05,2023,Q3,7,July,5,Wednesday,3,0,2023-07
2023-07-06,2023,Q3,7,July,6,Thursday,4,0,2023-07
2023-07-07,2023,Q3,7,July,7,Friday,5,0,2023-07
2023-07-08,2023,Q3,7,July,8,Saturday,6,1,2023-07
2023-07-09,2023,Q3,7,July,9,Sunday,7,1,2023-07
2023-07-10,2023,Q3,7,July,10,Monday,1,0,2023-07
2023-07-11,2023,Q3,7,July,11,Tuesday,2,0,2023-07
2023-07-12,2023,Q3,7,July,12,Wednesday,3,0,2023-07
2023-07-13,2023,Q3,7,July,13,Thursday,4,0,2023-07
2023-07-14,2023,Q3,7,July,14,Friday,5,0,2023-07
2023-07-15,2023,Q3,7,July,15,Saturday,6,1,2023-07
2023-07-16,2023,Q3,7,July,16,Sunday,7,1,2023-07
2023-07-17,2023,Q3,7,July,17,Monday,1,0,2023-07
2023-07-18,2023,Q3,7,July,18,Tuesday,2,0,2023-07
2023-07-19,2023,Q3,7,July,19,Wednesday,3,0,2023-07
2023-07-20,2023,Q3,7,July,20,Thursday,4,0,2023-07
2023-07-21,2023,Q3,7,July,21,Friday,5,0,2023-07
2023-07-22,2023,Q3,7,July,22,Saturday,6,1,2023-07
2023-07-23,2023,Q3,7,July,23,Sunday,7,1,2023-07
2023-07-24,2023,Q3,7,July,24,Monday,1,0,2023-07
2023-07-25,2023,Q3,7,July,25,Tuesday,2,0,2023-07
2023-07-26,2023,Q3,7,July,26,Wednesday,3,0,2023-07
2023-07-27,2023,Q3,7,July,27,Thursday,4,0,2023-07
2023-07-28,2023,Q3,7,July,28,Friday,5,0,2023-07
2023-07-29,2023,Q3,7,July,29,Saturday,6,1,2023-07
2023-07-30,2023,Q3,7,July,30,Sunday,7,1,2023-07
2023-07-31,2023,Q3,7,July,31,Monday,1,0,2023-07
2023-08-01,2023,Q3,8,August,1,Tuesday,2,0,2023-08
2023-08-02,2023,Q3,8,August,2,Wednesday,3,0,2023-08
2023-08-03,2023,Q3,8,August,3,Thursday,4,0,2023-08
2023-08-04,2023,Q3,8,August,4,Friday,5,0,2023-08
2023-08-05,2023,Q3,8,August,5,Saturday,6,1,2023-08
2023-08-06,2023,Q3,8,August,6,Sunday,7,1,2023-08
2023-08-07,2023,Q3,8,August,7,Monday,1,0,2023-08
2023-08-08,2023,Q3,8,August,8,Tuesday,2,0,2023-08
2023-08-09,2023,Q3,8,August,9,Wednesday,3,0,2023-08
2023-08-10,2023,Q3,8,August,10,Thursday,4,0,2023-08
2023-08-11,2023,Q3,8,August,11,Friday,5,0,2023-08
